INS_DATE,INS_CCD,INS_SCD,INS_PG,UPD_DATE,UPD_CCD,UPD_SCD,UPD_PG,EXCLUS_VER,CATEGORY_ID,TABLE_NO,SYSTEM_TYPE,TABLE_JAPAN_NAME,TABLE_ENGLISH_NAME,TIME_STOP_DELETE,HAS_PARENT_TBL_FLG,PARENT_TBL_NAME,PARENT_TBL_JP_NAME,FIELD_ACQ_DATE_TIME,FIELD_ACQ_END_DATE,FIELD_ACQ_EMPLOYEE_ID,FIELD_ACQ_START_DATE,FIELD_ACQ_CID,FIELD_PARENT_1,FIELD_PARENT_2,FIELD_PARENT_3,FIELD_PARENT_4,FIELD_PARENT_5,FIELD_PARENT_6,FIELD_PARENT_7,FIELD_PARENT_8,FIELD_PARENT_9,FIELD_PARENT_10,FIELD_CHILD_1,FIELD_CHILD_2,FIELD_CHILD_3,FIELD_CHILD_4,FIELD_CHILD_5,FIELD_CHILD_6,FIELD_CHILD_7,FIELD_CHILD_8,FIELD_CHILD_9,FIELD_CHILD_10,CLS_KEY_QUERY_1,CLS_KEY_QUERY_2,CLS_KEY_QUERY_3,CLS_KEY_QUERY_4,CLS_KEY_QUERY_5,CLS_KEY_QUERY_6,CLS_KEY_QUERY_7,CLS_KEY_QUERY_8,CLS_KEY_QUERY_9,CLS_KEY_QUERY_10,DEFAULT_COND_KEY_QUERY,FIELD_KEY_QUERY_1,FIELD_KEY_QUERY_2,FIELD_KEY_QUERY_3,FIELD_KEY_QUERY_4,FIELD_KEY_QUERY_5,FIELD_KEY_QUERY_6,FIELD_KEY_QUERY_7,FIELD_KEY_QUERY_8,FIELD_KEY_QUERY_9,FIELD_KEY_QUERY_10,FIELD_DATE_1,FIELD_DATE_2,FIELD_DATE_3,FIELD_DATE_4,FIELD_DATE_5,FIELD_DATE_6,FIELD_DATE_7,FIELD_DATE_8,FIELD_DATE_9,FIELD_DATE_10,FIELD_DATE_11,FIELD_DATE_12,FIELD_DATE_13,FIELD_DATE_14,FIELD_DATE_15,FIELD_DATE_16,FIELD_DATE_17,FIELD_DATE_18,FIELD_DATE_19,FIELD_DATE_20,FILED_KEY_UPDATE_1,FILED_KEY_UPDATE_2,FILED_KEY_UPDATE_3,FILED_KEY_UPDATE_4,FILED_KEY_UPDATE_5,FILED_KEY_UPDATE_6,FILED_KEY_UPDATE_7,FILED_KEY_UPDATE_8,FILED_KEY_UPDATE_9,FILED_KEY_UPDATE_10,FILED_KEY_UPDATE_11,FILED_KEY_UPDATE_12,FILED_KEY_UPDATE_13,FILED_KEY_UPDATE_14,FILED_KEY_UPDATE_15,FILED_KEY_UPDATE_16,FILED_KEY_UPDATE_17,FILED_KEY_UPDATE_18,FILED_KEY_UPDATE_19,FILED_KEY_UPDATE_20,HISTORY_CLS
,,,,,,,,,106,1,1,01職場構成,BSYMT_WKP_CONFIG_2,300,0,NULL,NULL,NULL,NULL,NULL,NULL,CID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CID,HIST_ID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
,,,,,,,,,106,2,1,02職場構成情報,BSYMT_WKP_INFO,300,0,NULL,NULL,NULL,NULL,NULL,NULL,CID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CID,HIST_ID,WKPID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
,,,,,,,,,106,3,1,03職場履歴,BSYMT_AFF_WKP_HIST_ITEM,300,0,NULL,NULL,NULL,NULL,NULL,NULL,CID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CID,WKPID,HIST_ID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
,,,,,,,,,106,4,1,04職場情報,BSYMT_WKP_INFO,300,0,NULL,NULL,NULL,NULL,NULL,NULL,CID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CID,HIST_ID,WKPID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
,,,,,,,,,107,1,1,01社員の勤務種別の履歴,KRCMT_BUS_TYPE_HIST,300,0,,,,,SID,,CID,,,,,,,,,,,,,,,,,,,,,0,5,,,,,,,,,,CID,SID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIST_ID,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,107,2,1,02社員の勤務種別,KRCMT_BUS_TYPE_HIST_ITEM,300,1,KRCMT_BUS_TYPE_HIST,社員の勤務種別の履歴,,,SID,,CID,HIST_ID,,,,,,,,,,HIST_ID,,,,,,,,,,0,5,,,,,,,,,,CID,SID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIST_ID,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,121,1,1,01ロール,SACMT_ROLE,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROLE_ID,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,121,2,1,02個人情報ロール,SACMT_ROLE_PERSON,300,1,SACMT_ROLE,ロール,,,,,CID,ROLE_ID,,,,,,,,,,ROLE_ID,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROLE_ID,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,121,3,1,03就業ロール,KACMT_ROLE_ATTENDANCE,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,ROLE_ID,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,121,4,1,04ロールセット,SACMT_ROLESET,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,ROLE_SET_CD,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,121,5,1,05既定のロールセット,SACMT_ROLESET_DEFAULT,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,121,6,1,06ロール個人別付与,SACMT_ROLE_INDIVI_GRANT,300,0,,,,END_D,,STR_D,CID,,,,,,,,,,,,,,,,,,,,,0,8,8,,,,,,,,,CID,STR_D,END_D,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,USER_ID,ROLE_TYPE,,,,,,,,,,,,,,,,,,0
,,,,,,,,,121,7,1,07ロールセット個人別付与,SACMT_ROLESET_PERSON,300,0,,,,END_DATE,SID,START_DATE,CID,,,,,,,,,,,,,,,,,,,,,5,0,8,8,,,,,,,,SID,CID,START_DATE,END_DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,SID,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,121,8,1,08ロールセット職位別付与,SACMT_ROLESET_JOB,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,121,9,1,09ロールセット職位別付与詳細,SACMT_ROLESET_JOB_DETAIL,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,JOB_ID,ROLESET_CD,,,,,,,,,,,,,,,,,,0
,,,,,,,,,121,10,1,10ロールセット別紐付け,SPTMT_ROLE_SET_WEB_MENU,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,ROLE_SET_CD,WEB_MENU_CD,,,,,,,,,,,,,,,,,,0
,,,,,,,,,121,11,1,11担当ロール別紐付け,SPTMT_ROLE_BY_ROLE_TIES,300,1,SACMT_ROLE,ロール,,,,,CID,ROLE_ID,,,,,,,,,,ROLE_ID,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROLE_ID,WEB_MENU_CD,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,122,1,1,01Webメニュー,SPTMT_WEB_MENU,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,WEB_MENU_CD,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,122,2,1,02メニューバー,SPTMT_MENU_BAR,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,WEB_MENU_CD,MENU_BAR_ID,,,,,,,,,,,,,,,,,,0
,,,,,,,,,122,3,1,03タイトルバー,SPTMT_TITLE_BAR,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,WEB_MENU_CD,MENU_BAR_ID,TITLE_BAR_ID,,,,,,,,,,,,,,,,,0
,,,,,,,,,122,4,1,04ツリーメニュー,SPTMT_TREE_MENU,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,WEB_MENU_CD,TITLE_BAR_ID,MENU_BAR_ID,DISPLAY_ORDER,,,,,,,,,,,,,,,,0
,,,,,,,,,131,1,1,01休暇の取得ルール,KARST_ACQUISITION_RULE,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,2,1,02年休設定,KSHMT_HDPAID_SET,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,3,1,03年休管理設定,KSHMT_HDPAID_SET_MNG,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,4,1,04積立年休設定,KSHMT_HDSTK_SET_COM,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,5,1,05雇用積立年休設定,KSHMT_HDSTK_SET_EMP,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,EMP_CTR_CD,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,6,1,06代休管理設定,KCLMT_COMPENS_LEAVE_COM,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,7,1,07取得と使用方法(会社),KCLMT_ACQUISITION_COM,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,8,1,08時間代休の消化単位(会社),KCTMT_DIGEST_TIME_COM,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,9,1,09発生設定(会社),KOCMT_OCCURRENCE_SET,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,OCCURR_TYPE,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,10,1,10雇用の代休管理設定,KCLMT_COMPENS_LEAVE_EMP,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,EMPCD,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,11,1,11代休取得・使用方法(雇用),KCLMT_ACQUISITION_EMP,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,EMPCD,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,12,1,12時間代休の消化単位(雇用),KCTMT_DIGEST_TIME_EMP,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,EMPCD,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,13,1,13振休管理設定,KSVST_COM_SUBST_VACATION,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,14,1,14雇用振休管理設定,KSVST_EMP_SUBST_VACATION,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,EMPCD,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,15,1,1560H超休管理設定,KSHMT_HD60H_COM,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,16,1,16雇用別60H超休管理設定,KSHMT_HD60H_EMP,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPCD,CID,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,17,1,17介護看護休暇設定,KSHMT_HDNURSING_LEAVE,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,NURSING_TYPE,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,131,18,1,18看護介護休暇,KNLMT_NURSING_WORK_TYPE,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,NURSING_TYPE,DISP_ORDER,,,,,,,,,,,,,,,,,,0
,,,,,,,,,132,2,1,02付与条件,KSHMT_HDPAID_CONDITION,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,YEAR_HD_CD,CONDITION_NO,,,,,,,,,,,,,,,,,,0
,,,,,,,,,132,3,1,03年休付与テーブル,KSHMT_HDPAID_GRANT_TBL,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,YEAR_HD_CD,GRANT_NUM,CONDITION_NO,,,,,,,,,,,,,,,,,0
,,,,,,,,,132,4,1,04勤続年数テーブル,KSHMT_HDPAID_SERVICE_TBL,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,YEAR_HD_CD,GRANT_NUM,,,,,,,,,,,,,,,,,,0
,,,,,,,,,133,1,1,01特別休暇,KSHMT_HDSP,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,SPHD_CD,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,133,2,1,02対象の欠勤枠,KSHMT_HDSP_FRAME_ABSENCE,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,SPHD_CD,ABS_FRAME_NO,,,,,,,,,,,,,,,,,,0
,,,,,,,,,133,3,1,03対象の特別休暇枠,KSHMT_HDSP_FRAME_HDSP,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,SPHD_CD,SPHD_NO,,,,,,,,,,,,,,,,,,0
,,,,,,,,,133,4,1,04付与情報,KSHMT_HDSP_GRANT,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,SPHD_CD,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,133,5,1,05特別休暇付与テーブル,KSHMT_HDSP_GRANT_TBL,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,SPHD_CD,GD_TBL_CD,,,,,,,,,,,,,,,,,,0
,,,,,,,,,133,6,1,06経過年数に対する付与日数,KSHMT_HDSP_ELAPSED_YEARS_TBL,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,SPHD_CD,GD_CD,NO,,,,,,,,,,,,,,,,,0
,,,,,,,,,133,7,1,07期限情報,KSHMT_HDSP_GRANT_DEADLINE,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,SPHD_CD,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,133,8,1,08特別休暇利用条件,KSHMT_HDSP_CONDITION,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,SPHD_CD,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,133,9,1,09特別休暇雇用条件,KSHMT_HDSP_COND_EMP,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,SPHD_CD,EMP_CD,,,,,,,,,,,,,,,,,,0
,,,,,,,,,133,10,1,10特別休暇分類条件,KSHMT_HDSP_COND_CLS,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,SPHD_CD,CLS_CD,,,,,,,,,,,,,,,,,,0
,,,,,,,,,133,11,1,11事象に対する特別休暇,KSHMT_HDSPEV,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,S_HOLIDAY_EVENT_NO,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,133,12,1,12事象に対する特別休暇雇用一覧,KSHMT_HDSPEV_COND_EMP,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,S_HOLIDAY_EVENT_NO,EMPLOYMENT_CD,,,,,,,,,,,,,,,,,,0
,,,,,,,,,133,13,1,13事象に対する特別休暇分類一覧,KSHMT_HDSPEV_COND_CLS,300,0,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,CID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CID,S_HOLIDAY_EVENT_NO,CLASIFICATION_CD,,,,,,,,,,,,,,,,,,0
